Job Title,Work Type,Average Normalized Salary,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Baker,Part Time,35594.0,20%,316,1344,0.2351190476190476,Leadership & Strategy
Bakery Manager,Full Time,43732.8,84%,97,804,0.1206467661691542,Hospitality
Bank Teller,Full Time,43680.0,70%,113,824,0.137135922330097,Administrative & Clerical
Banker,Full Time,54389.51825396825,10%,994,4020,0.2472636815920398,Hospitality
Banker,Other,43680.0,10%,994,4020,0.2472636815920398,Hospitality
Banker,Part Time,48488.26666666667,10%,994,4020,0.2472636815920398,Hospitality
Banquet Captain,Full Time,52000.0,35%,101,793,0.1273644388398487,Sales & Marketing
Banquet Manager,Full Time,86400.0,83%,99,802,0.1234413965087281,Communication & PR
Bar Manager,Full Time,76333.33333333333,40%,564,1815,0.3107438016528925,Medical & Healthcare
Barista,Full Time,38134.2,14%,329,1429,0.2302309307207837,Hospitality
Barista,Part Time,35360.0,14%,329,1429,0.2302309307207837,Hospitality
Bartender,Full Time,34690.240000000005,14%,343,1462,0.234610123119015,Communication & PR
Bartender,Other,35886.933333333334,14%,343,1462,0.234610123119015,Communication & PR
Bartender,Part Time,38584.0,14%,343,1462,0.234610123119015,Communication & PR
Beauty Advisor,Full Time,42770.0,5%,943,4205,0.224256837098692,Hospitality
Beauty Advisor,Other,32809.4,5%,943,4205,0.224256837098692,Hospitality
Beauty Advisor,Part Time,30040.4,5%,943,4205,0.224256837098692,Hospitality
Behavior Interventionist,Part Time,48880.0,10%,489,2323,0.2105036590615583,Data & IT
Behavior Technician,Full Time,42794.84444444444,15%,739,2905,0.2543889845094664,Communication & PR
Behavior Technician,Part Time,42120.0,15%,739,2905,0.2543889845094664,Communication & PR
Bench Jeweler,Full Time,79040.0,25%,95,766,0.1240208877284595,Medical & Healthcare
Beverage Manager,Full Time,74253.0625,25%,166,1278,0.1298904538341158,Hospitality
Bilingual,Full Time,62421.96666666667,15%,848,3512,0.2414578587699316,Leadership & Strategy
Bilingual,Other,52000.0,15%,848,3512,0.2414578587699316,Leadership & Strategy
Bilingual,Part Time,49400.0,15%,848,3512,0.2414578587699316,Leadership & Strategy
Billing Coordinator,Full Time,73520.7,45%,620,2134,0.2905342080599812,Communication & PR
Billing Manager,Full Time,65022.5,55%,175,1434,0.1220362622036262,Sales & Marketing
Billing Supervisor,Full Time,130041130.0,45%,606,2100,0.2885714285714286,Leadership & Strategy
Biochemist,Full Time,54703.466666666674,50%,113,828,0.1364734299516908,Communication & PR
Bioinformatician,Full Time,140000.0,30%,201,1226,0.1639477977161501,Leadership & Strategy
Bioinformatics,Other,104000.0,30%,201,1237,0.1624898949070331,Medical & Healthcare
Biological Scientist,Full Time,100004.5,40%,475,1721,0.2760023242300988,Construction
Biomedical Engineer,Full Time,70975.0,60%,102,732,0.1393442622950819,Law Enforcement
Biomedical Engineer,Other,88400.0,60%,102,732,0.1393442622950819,Law Enforcement
Biostatistician,Full Time,103276.75,40%,567,1874,0.3025613660618997,Hospitality
Biostatistician,Other,145600.0,40%,567,1874,0.3025613660618997,Hospitality
Biotechnology,Other,41600.0,60%,97,694,0.1397694524495677,Construction
Bookkeeper,Full Time,62552.13108108108,65%,141,911,0.1547749725576289,Supply Chain & Logistics
Bookkeeper,Other,53144.0,65%,141,911,0.1547749725576289,Supply Chain & Logistics
Bookkeeper,Part Time,66040.0,65%,141,911,0.1547749725576289,Supply Chain & Logistics
Brand Director,Full Time,153877.875,30%,264,1671,0.1579892280071813,Law Enforcement
Brand Manager,Full Time,106051.78571428571,45%,862,2975,0.2897478991596638,Communication & PR
Brand Marketing Manager,Full Time,85500.0,45%,862,2976,0.2896505376344086,Data & IT
Breakfast Attendant,Full Time,28080.0,13%,271,1062,0.2551789077212806,Data & IT
Breakfast Attendant,Part Time,41100.8,13%,271,1062,0.2551789077212806,Data & IT
Brewer,Full Time,68280.0,35%,55,508,0.108267716535433,Hospitality
Bridge Engineer,Full Time,121875.0,28%,183,1517,0.1206328279499011,Administrative & Clerical
Broadcast Engineer,Full Time,84999.2,30%,186,1368,0.1359649122807017,Sales & Marketing
Broadcast Engineer,Other,93600.0,30%,186,1368,0.1359649122807017,Sales & Marketing
Broker,Full Time,212905.0,30%,198,1271,0.1557828481510621,Leadership & Strategy
Budget Analyst,Full Time,88990.83333333333,60%,165,1165,0.1416309012875536,Administrative & Clerical
Budget Analyst,Part Time,66685.0,60%,165,1165,0.1416309012875536,Administrative & Clerical
Budget Manager,Full Time,59500.0,40%,676,2240,0.3017857142857142,Leadership & Strategy
Builder,Full Time,75920.0,10%,267,1206,0.2213930348258706,Leadership & Strategy
Builder,Other,109200.0,10%,267,1206,0.2213930348258706,Leadership & Strategy
Builder,Part Time,31699.2,10%,267,1206,0.2213930348258706,Leadership & Strategy
Building Maintenance,Full Time,48679.125,30%,131,890,0.147191011235955,Communication & PR
Building Manager,Other,43680.0,30%,158,984,0.1605691056910569,Data & IT
Building Official,Full Time,142519.0,15%,908,3641,0.2493820379016753,Law Enforcement
Bus Driver,Full Time,45446.26666666666,45%,80,426,0.1877934272300469,Administrative & Clerical
Bus Driver,Part Time,36847.2,45%,80,426,0.1877934272300469,Administrative & Clerical
Business Architect,Full Time,140590.0,30%,255,1459,0.1747772446881425,Administrative & Clerical
Business Banker,Full Time,74763.5,25%,209,1452,0.1439393939393939,Construction
Business Banking Relationship Manager,Full Time,120107.5,65%,166,1126,0.147424511545293,Hospitality
Business Consultant,Full Time,114489.57142857143,40%,997,2969,0.3358033007746716,Sales & Marketing
Business Consultant,Other,143000.0,40%,997,2969,0.3358033007746716,Sales & Marketing
Business Controller,Full Time,107895.0,55%,126,1017,0.1238938053097345,Communication & PR
Business Coordinator,Full Time,39500.0,40%,939,2880,0.3260416666666667,Hospitality
Business Development Director,Full Time,185364.2857142857,35%,348,2223,0.1565452091767881,Hospitality
Business Development Director,Other,160000.0,35%,348,2223,0.1565452091767881,Hospitality
Business Development Executive,Full Time,92772.72727272728,30%,323,1961,0.1647118816930137,Medical & Healthcare
Business Development Executive,Other,141750.0,30%,323,1961,0.1647118816930137,Medical & Healthcare
Business Development Officer,Full Time,106666.66666666667,40%,958,2883,0.3322927506070066,Communication & PR
Business Development Representative,Full Time,68655.23170731707,45%,957,2881,0.3321763276640055,Communication & PR
Business Director,Full Time,210000.0,25%,186,1358,0.1369661266568483,Sales & Marketing
Business Manager,Full Time,115140.56666666667,68%,164,1072,0.1529850746268656,Supply Chain & Logistics
Business Manager,Part Time,61750.0,68%,164,1072,0.1529850746268656,Supply Chain & Logistics
Business Office Manager,Full Time,66099.33333333333,30%,223,1349,0.1653076352853966,Administrative & Clerical
Business Operations Manager,Full Time,170000.0,71%,163,1330,0.1225563909774436,Data & IT
Business Partner,Full Time,132783.8117647059,35%,319,2087,0.1528509822712027,Leadership & Strategy
Business Partner,Other,102720.0,35%,319,2087,0.1528509822712027,Leadership & Strategy
Business Relationship Manager,Full Time,104951.1,82%,194,1467,0.1322426721199727,Leadership & Strategy
Business Support,Full Time,63850.0,25%,269,1795,0.1498607242339832,Hospitality
Business Unit Manager,Full Time,162500.0,30%,236,1437,0.1642310368823938,Construction
Busser,Full Time,39332.8,10%,421,1614,0.2608426270136307,Data & IT
Busser,Other,39000.0,10%,421,1614,0.2608426270136307,Data & IT
Buyer,Full Time,81067.44418604652,45%,607,2062,0.2943743937924345,Construction
Buyer,Other,58666.8,45%,607,2062,0.2943743937924345,Construction
CNA,Full Time,47786.885714285716,50%,31,233,0.1330472103004291,Communication & PR
CNA,Other,183040.0,50%,31,233,0.1330472103004291,Communication & PR
CNA,Part Time,45517.82857142857,50%,31,233,0.1330472103004291,Communication & PR
CPA,Full Time,125000.0,40%,540,1635,0.3302752293577982,Supply Chain & Logistics
CTO,Full Time,117338.05,10%,1155,4542,0.2542932628797886,Sales & Marketing
CTO,Other,130695.12,10%,1155,4542,0.2542932628797886,Sales & Marketing
Cabinet Maker,Full Time,61464.0,25%,79,874,0.0903890160183066,Hospitality
Cable Technician,Other,63336.0,50%,63,451,0.1396895787139689,Construction
Calibration Technician,Full Time,63550.93333333333,40%,478,1599,0.2989368355222013,Hospitality
Call Center,Full Time,42247.98235294117,40%,1064,3265,0.3258805513016845,Leadership & Strategy
Call Center,Other,37250.166666666664,40%,1064,3265,0.3258805513016845,Leadership & Strategy
Call Center,Part Time,34320.0,40%,1064,3265,0.3258805513016845,Leadership & Strategy
Caller,Full Time,70000.0,75%,131,1085,0.12073732718894,Construction
Camp Director,Other,84000.0,15%,805,3243,0.2482269503546099,Construction
Campaign Manager,Full Time,68083.33333333333,30%,248,1479,0.1676808654496281,Leadership & Strategy
Campaign Manager,Other,87706.66666666667,30%,248,1479,0.1676808654496281,Leadership & Strategy
Cannabis,Full Time,46259.2,28%,157,1234,0.1272285251215559,Law Enforcement
Captain,Full Time,82819.8,5%,359,1639,0.2190359975594875,Leadership & Strategy
Captain,Other,41600.0,5%,359,1639,0.2190359975594875,Leadership & Strategy
Car Mechanic,Full Time,61360.0,35%,66,525,0.1257142857142857,Leadership & Strategy
Car Sales,Full Time,57250.0,30%,221,1515,0.1458745874587458,Administrative & Clerical
Cardiologist,Full Time,470000.0,30%,140,982,0.1425661914460285,Leadership & Strategy
Cardiovascular Technologist,Full Time,35580.0,40%,417,1411,0.2955350815024805,Medical & Healthcare
Care Manager,Full Time,85593.16,35%,221,1544,0.1431347150259067,Supply Chain & Logistics
Care Manager,Other,124800.0,35%,221,1544,0.1431347150259067,Supply Chain & Logistics
Care Manager,Part Time,97060.2,35%,221,1544,0.1431347150259067,Supply Chain & Logistics
Career Coach,Full Time,19771.0025,20%,10,60,0.1666666666666666,Hospitality
Career Coach,Other,124800.0,20%,10,60,0.1666666666666666,Hospitality
Career Coach,Part Time,75000.0,20%,10,60,0.1666666666666666,Hospitality
Caregiver,Full Time,35307.5,5%,608,2504,0.242811501597444,Communication & PR
Caregiver,Part Time,38870.0,5%,608,2504,0.242811501597444,Communication & PR
Caretaker,Full Time,66500.0,15%,464,1829,0.2536905412793876,Data & IT
Cargo Handler,Full Time,39624.0,25%,119,828,0.143719806763285,Medical & Healthcare
Carpenter,Full Time,66485.0,30%,116,724,0.1602209944751381,Construction
Carpenter,Other,45240.0,30%,116,724,0.1602209944751381,Construction
Carpentry,Full Time,91936.0,30%,112,684,0.1637426900584795,Hospitality
Carrier,Part Time,38646.4,35%,62,529,0.1172022684310018,Communication & PR
Cart Attendant,Full Time,175500.0,13%,270,1124,0.2402135231316726,Administrative & Clerical
Case Manager,Full Time,7170433.013431373,40%,784,2544,0.3081761006289308,Sales & Marketing
Case Manager,Other,82050.8,40%,784,2544,0.3081761006289308,Sales & Marketing
Case Manager,Part Time,94020.0,40%,784,2544,0.3081761006289308,Sales & Marketing
Case Worker,Full Time,80386.5,20%,8,49,0.1632653061224489,Communication & PR
Case Worker,Other,59716.8,20%,8,49,0.1632653061224489,Communication & PR
Cashier,Full Time,33649.91111111111,70%,97,703,0.1379800853485064,Medical & Healthcare
Cashier,Other,44720.0,70%,97,703,0.1379800853485064,Medical & Healthcare
Cashier,Part Time,33706.4,70%,97,703,0.1379800853485064,Medical & Healthcare
Casino,Part Time,29120.0,25%,145,1133,0.1279788172992056,Communication & PR
Category Manager,Full Time,125357.14285714286,21%,6,46,0.1304347826086956,Communication & PR
Category Manager,Other,114344.53333333333,21%,6,46,0.1304347826086956,Communication & PR
Catering Sales Manager,Full Time,80000.0,30%,232,1373,0.1689730517115804,Law Enforcement
Center Manager,Full Time,82243.07692307692,25%,209,1542,0.1355382619974059,Leadership & Strategy
Certified Home Health Aide,Full Time,41600.0,30%,87,678,0.1283185840707964,Administrative & Clerical
Certified Home Health Aide,Part Time,36098.4,30%,87,678,0.1283185840707964,Administrative & Clerical
Certified Pharmacy Technician,Full Time,47840.0,40%,232,722,0.3213296398891966,Law Enforcement
Certified Surgical Technologist,Full Time,76154.0,60%,43,378,0.1137566137566137,Hospitality
Certified Surgical Technologist,Other,126880.0,60%,43,378,0.1137566137566137,Hospitality
Certified Surgical Technologist,Part Time,86424.0,60%,43,378,0.1137566137566137,Hospitality
Change Manager,Full Time,145000.0,25%,241,1573,0.1532104259376986,Construction
Change Manager,Other,153920.0,25%,241,1573,0.1532104259376986,Construction
Change Manager,Part Time,166400.0,25%,241,1573,0.1532104259376986,Construction
Channel Manager,Full Time,111462.93,35%,218,1291,0.168861347792409,Supply Chain & Logistics
Channel Sales Manager,Full Time,122000.0,35%,348,2205,0.1578231292517006,Hospitality
Chaplain,Part Time,63109.799999999996,10%,391,1736,0.2252304147465438,Construction
Charge Nurse,Full Time,76390.0,5%,687,2798,0.2455325232308792,Supply Chain & Logistics
Charge Nurse,Part Time,111363.2,5%,687,2798,0.2455325232308792,Supply Chain & Logistics
Chef,Full Time,74459.66666666667,20%,362,1488,0.2432795698924731,Hospitality
Chef,Other,13200.0,20%,362,1488,0.2432795698924731,Hospitality
Chef Manager,Full Time,71666.66666666667,35%,90,740,0.1216216216216216,Communication & PR
Chemical Engineer,Full Time,109217.76000000001,50%,116,845,0.1372781065088757,Data & IT
Chemical Engineer,Other,67600.0,50%,116,845,0.1372781065088757,Data & IT
Chemist,Full Time,91235.48291666666,30%,136,884,0.1538461538461538,Hospitality
Chemist,Other,61267.555555555555,30%,136,884,0.1538461538461538,Hospitality
Chemist,Part Time,57200.0,30%,136,884,0.1538461538461538,Hospitality
Chief Engineer,Full Time,136818.18181818182,20%,6,46,0.1304347826086956,Supply Chain & Logistics
Chinese Teacher,Full Time,59900.0,20%,8,31,0.2580645161290322,Communication & PR
Chiropractor,Full Time,116500.0,5%,473,1750,0.2702857142857143,Law Enforcement
City Manager,Full Time,201500.0,20%,844,3512,0.2403189066059225,Communication & PR
Claims,Full Time,80119.18533333333,40%,557,1738,0.3204833141542002,Data & IT
Claims,Other,76128.0,40%,557,1738,0.3204833141542002,Data & IT
Claims Manager,Full Time,121660.0,55%,124,956,0.1297071129707113,Administrative & Clerical
Class A CDL,Full Time,58593.6,45%,81,437,0.1853546910755149,Medical & Healthcare
Class A Driver,Full Time,75865.33333333333,50%,32,271,0.1180811808118081,Leadership & Strategy
Class B CDL,Full Time,46973.333333333336,50%,31,254,0.1220472440944882,Medical & Healthcare
Class B Driver,Full Time,50960.0,50%,31,254,0.1220472440944882,Supply Chain & Logistics
Classroom Teacher,Full Time,61500.0,20%,8,31,0.2580645161290322,Data & IT
Cleaner,Full Time,48504.666666666664,65%,6,27,0.2222222222222222,Sales & Marketing
Cleaner,Part Time,33020.0,65%,6,27,0.2222222222222222,Sales & Marketing
Clerk,Full Time,42081.474038461536,55%,85,830,0.1024096385542168,Construction
Clerk,Other,53872.0,55%,85,830,0.1024096385542168,Construction
Clerk,Part Time,34104.41081081081,55%,85,830,0.1024096385542168,Construction
Clerk Typist,Full Time,30821.975,83%,263,1986,0.1324269889224572,Data & IT
Client Advisor,Full Time,129504.0,10%,1087,4173,0.2604840642223819,Leadership & Strategy
Client Manager,Full Time,99482.87142857142,35%,353,2216,0.1592960288808664,Data & IT
Client Manager,Other,87500.0,35%,353,2216,0.1592960288808664,Data & IT
Client Relations Manager,Part Time,37440.0,20%,9,57,0.1578947368421052,Data & IT
Client Success Manager,Full Time,75764.96666666666,30%,286,1824,0.156798245614035,Leadership & Strategy
Clinic Manager,Full Time,74000.0,50%,182,1782,0.1021324354657687,Administrative & Clerical
Clinical Coordinator,Full Time,104528.0,45%,690,2244,0.3074866310160428,Construction
Clinical Data Analyst,Other,95680.0,65%,220,1369,0.1607012417823228,Law Enforcement
Clinical Data Manager,Full Time,147500.0,45%,739,2535,0.2915187376725838,Law Enforcement
Clinical Dietitian,Part Time,52000.0,25%,183,1330,0.137593984962406,Communication & PR
Clinical Director,Full Time,170775.0,5%,1005,3452,0.291135573580533,Administrative & Clerical
Clinical Educator,Part Time,135200.0,30%,140,942,0.1486199575371549,Construction
Clinical Laboratory Scientist,Full Time,130670.8,30%,126,813,0.1549815498154981,Communication & PR
Clinical Laboratory Scientist,Other,96200.0,30%,126,813,0.1549815498154981,Communication & PR
Clinical Laboratory Scientist,Part Time,106156.26666666666,30%,126,813,0.1549815498154981,Communication & PR
Clinical Liaison,Full Time,112175.0,25%,221,1520,0.1453947368421052,Hospitality
Clinical Nurse,Full Time,87331.95285714287,40%,458,1509,0.3035122597746852,Data & IT
Clinical Nurse,Other,135200.0,40%,458,1509,0.3035122597746852,Data & IT
Clinical Nurse,Part Time,108259.6,40%,458,1509,0.3035122597746852,Data & IT
Clinical Nurse Manager,Full Time,84600.0,45%,536,1924,0.2785862785862786,Data & IT
